"Date","Price","Open","High","Low","Vol.","Change %"
"27-08-2025","47.92","47.77","47.94","47.77","38.50K","0.11%"
"26-08-2025","47.86","47.77","47.86","47.77","31.81K","0.10%"
"25-08-2025","47.81","47.81","47.86","47.78","27.48K","-0.04%"
"22-08-2025","47.83","47.70","47.87","47.70","33.08K","0.46%"
"21-08-2025","47.61","47.65","47.65","47.56","17.55K","-0.27%"
"20-08-2025","47.74","47.66","47.76","47.66","28.52K","0.02%"
"19-08-2025","47.73","47.69","47.78","47.68","41.47K","0.15%"
"18-08-2025","47.66","47.70","47.73","47.62","21.00K","0.00%"
"15-08-2025","47.66","47.70","47.72","47.62","12.00K","-0.06%"
"14-08-2025","47.69","47.73","47.79","47.66","22.81K","-0.22%"
"13-08-2025","47.79","47.78","47.82","47.76","20.01K","0.30%"
"12-08-2025","47.65","47.65","47.68","47.54","35.35K","0.02%"
"11-08-2025","47.64","47.65","47.71","47.63","11.40K","0.07%"
"08-08-2025","47.61","47.64","47.65","47.59","34.32K","-0.13%"
"07-08-2025","47.67","47.69","47.75","47.56","18.80K","0.03%"
"06-08-2025","47.66","47.68","47.71","47.64","29.74K","-0.04%"
"05-08-2025","47.68","47.69","47.70","47.64","82.90K","-0.13%"
"04-08-2025","47.74","47.73","47.76","47.67","10.61K","0.15%"
"01-08-2025","47.67","47.55","47.69","47.52","11.74K","0.27%"
"31-07-2025","47.54","47.60","47.64","47.54","9.73K","-0.07%"
"30-07-2025","47.57","47.55","47.64","47.53","19.82K","-0.09%"
"29-07-2025","47.62","47.45","47.70","47.45","28.13K","0.22%"
"28-07-2025","47.51","47.48","47.55","47.42","30.34K","-0.02%"
"25-07-2025","47.52","47.41","47.54","47.41","10.68K","0.23%"
"24-07-2025","47.41","47.36","47.43","47.36","28.01K","-0.14%"
"23-07-2025","47.47","47.44","47.52","47.44","36.62K","-0.03%"
"22-07-2025","47.49","47.47","47.55","47.46","21.06K","0.07%"
"21-07-2025","47.46","47.44","47.60","47.44","22.54K","0.22%"
"18-07-2025","47.35","47.32","47.43","47.32","18.13K","0.16%"
"17-07-2025","47.28","47.24","47.30","47.24","10.90K","-0.06%"
"16-07-2025","47.30","47.24","47.32","47.14","45.61K","0.20%"
"15-07-2025","47.21","47.28","47.29","47.20","37.84K","-0.19%"
"14-07-2025","47.30","47.24","47.30","47.23","14.46K","0.00%"
"11-07-2025","47.30","47.26","47.36","47.26","12.74K","-0.25%"
"10-07-2025","47.42","47.38","47.43","47.32","12.57K","0.02%"
"09-07-2025","47.41","47.25","47.41","47.25","57.74K","0.34%"
"08-07-2025","47.25","47.23","47.26","47.20","17.96K","-0.11%"
"07-07-2025","47.30","47.36","47.36","47.23","33.19K","-0.21%"
"03-07-2025","47.40","47.59","47.59","47.35","22.87K","-0.23%"
"02-07-2025","47.51","47.42","47.51","47.38","23.58K","0.06%"
"01-07-2025","47.48","47.51","47.52","47.41","20.97K","-0.40%"
"30-06-2025","47.67","47.60","47.68","47.52","19.34K","0.36%"
"27-06-2025","47.50","47.48","47.62","47.48","17.82K","-0.12%"
"26-06-2025","47.56","47.45","47.60","47.45","29.13K","0.20%"
"25-06-2025","47.46","47.42","47.47","47.37","25.29K","0.04%"
"24-06-2025","47.44","47.33","47.50","47.26","13.25K","0.26%"
"23-06-2025","47.32","47.31","47.42","47.28","39.61K","0.19%"
"20-06-2025","47.23","47.15","47.29","47.14","25.90K","0.02%"
"18-06-2025","47.22","47.18","47.31","47.11","27.78K","0.11%"
"17-06-2025","47.17","47.10","47.21","47.06","29.02K","0.30%"
"16-06-2025","47.03","47.08","47.17","47.03","14.06K","-0.25%"
"13-06-2025","47.15","47.20","47.20","47.08","9.58K","-0.15%"
"12-06-2025","47.22","47.19","47.25","47.14","26.26K","0.13%"
"11-06-2025","47.16","47.09","47.19","47.08","14.46K","0.31%"
"10-06-2025","47.01","47.02","47.06","46.96","19.48K","0.02%"
"09-06-2025","47.00","46.92","47.05","46.90","35.38K","0.13%"
"06-06-2025","46.94","46.96","46.97","46.90","25.85K","-0.22%"
"05-06-2025","47.04","47.13","47.14","47.03","13.72K","-0.16%"
"04-06-2025","47.12","47.00","47.13","47.00","20.99K","0.45%"
"03-06-2025","46.91","46.97","47.00","46.90","10.30K","0.02%"
"02-06-2025","46.90","46.91","46.96","46.85","19.30K","-0.57%"
"30-05-2025","47.17","47.04","47.17","47.03","36.17K","0.15%"
"29-05-2025","47.10","46.99","47.15","46.99","27.40K","0.43%"
"28-05-2025","46.90","46.96","46.98","46.88","23.72K","-0.26%"
"27-05-2025","47.02","46.94","47.03","46.88","13.77K","0.46%"
"23-05-2025","46.81","46.86","46.88","46.77","14.98K","0.10%"
"22-05-2025","46.76","46.61","46.81","46.61","24.10K","0.24%"
"21-05-2025","46.65","46.78","46.80","46.61","9.43K","-0.51%"
"20-05-2025","46.89","46.88","46.92","46.79","17.15K","-0.04%"
"19-05-2025","46.91","46.71","46.94","46.71","13.46K","-0.02%"
"16-05-2025","46.92","47.03","47.03","46.90","16.21K","0.11%"
"15-05-2025","46.87","46.75","46.88","46.73","13.73K","0.45%"
"14-05-2025","46.66","46.77","46.80","46.62","16.07K","-0.38%"
"13-05-2025","46.84","46.80","46.86","46.78","16.32K","0.06%"
"12-05-2025","46.81","46.80","46.87","46.78","15.70K","-0.13%"
"09-05-2025","46.87","46.92","46.95","46.86","10.03K","0.04%"
"08-05-2025","46.85","46.97","46.99","46.85","12.64K","-0.49%"
"07-05-2025","47.08","46.97","47.09","46.95","16.27K","0.28%"
"06-05-2025","46.95","46.82","46.99","46.78","22.05K","0.24%"
"05-05-2025","46.84","46.86","46.86","46.75","17.36K","-0.11%"
"02-05-2025","46.89","46.92","46.95","46.83","31.69K","-0.21%"
"01-05-2025","46.99","47.15","47.15","46.89","28.14K","-0.58%"
"30-04-2025","47.26","47.20","47.37","47.20","26.72K","-0.11%"
"29-04-2025","47.31","47.19","47.36","47.19","9.93K","0.13%"
"28-04-2025","47.25","47.08","47.27","47.08","12.31K","0.17%"
"25-04-2025","47.17","47.03","47.21","46.98","25.01K","0.40%"
"24-04-2025","46.98","46.89","47.02","46.87","20.83K","0.52%"
"23-04-2025","46.74","46.99","47.03","46.71","35.18K","0.24%"
"22-04-2025","46.63","46.68","46.72","46.60","27.84K","0.13%"
"21-04-2025","46.57","46.69","46.76","46.52","26.73K","-0.47%"
"17-04-2025","46.79","46.87","46.88","46.74","10.28K","-0.26%"
"16-04-2025","46.91","46.72","46.91","46.72","137.36K","0.33%"
"15-04-2025","46.76","46.70","46.82","46.70","8.54K","0.40%"
"14-04-2025","46.57","46.50","46.64","46.50","28.60K","0.22%"
"11-04-2025","46.47","46.37","46.61","46.15","16.76K","-0.02%"
"10-04-2025","46.48","46.73","46.89","46.46","22.85K","-0.92%"
"09-04-2025","46.91","46.33","46.91","46.16","27.98K","0.73%"
"08-04-2025","46.57","46.80","46.92","46.53","23.90K","-0.91%"
"07-04-2025","47.00","47.09","47.14","46.83","49.35K","-0.42%"
"04-04-2025","47.20","47.45","47.49","47.20","23.63K","-0.38%"
"03-04-2025","47.38","47.38","47.49","47.33","31.76K","0.25%"
"02-04-2025","47.26","47.27","47.27","47.14","20.83K","0.11%"
"01-04-2025","47.21","47.21","47.27","47.17","19.84K","-0.32%"
"31-03-2025","47.36","47.32","47.37","47.24","33.69K","0.32%"
"28-03-2025","47.21","47.14","47.21","47.14","12.76K","0.34%"
"27-03-2025","47.05","47.05","47.07","47.01","20.33K","0.00%"
"26-03-2025","47.05","47.11","47.18","47.05","19.14K","-0.25%"
"25-03-2025","47.17","47.10","47.20","47.10","9.53K","0.02%"
"24-03-2025","47.16","47.18","47.23","47.10","22.11K","-0.17%"
"21-03-2025","47.24","47.28","47.32","47.24","11.56K","-0.08%"
"20-03-2025","47.28","47.40","47.40","47.26","24.83K","0.00%"
"19-03-2025","47.28","47.09","47.30","47.09","21.22K","0.30%"
"18-03-2025","47.14","47.04","47.19","47.04","20.43K","0.11%"
"17-03-2025","47.09","47.11","47.19","47.07","24.75K","0.02%"
"14-03-2025","47.08","47.08","47.13","47.08","57.87K","-0.13%"
"13-03-2025","47.14","46.97","47.14","46.95","22.29K","0.21%"
"12-03-2025","47.04","47.07","47.12","47.02","44.12K","-0.15%"
"11-03-2025","47.11","47.27","47.27","47.08","25.59K","-0.23%"
"10-03-2025","47.22","47.28","47.30","47.20","25.49K","0.15%"
